video_id,status,svc_f1,edge_f1,gen_nodes,gt_nodes,gen_edges,gt_edges,whiteboard_sha256,stage1_cached_at
-3lnf5lzsH0,success,63.16,32.00,9,13,9,16,4a068bb5c768ae47,2026-07-27T21:58:11
-kA0ahrhX3I,success,92.31,66.67,10,9,4,8,1c345659c3aa6d8e,2026-07-27T22:01:44
-wLEkq21cvA,success,72.73,66.67,11,9,11,10,8385eabdc98e92f3,2026-07-27T21:36:16
07lfvavMdfU,success,94.74,75.00,9,10,10,14,2498809b34b62a75,2026-07-27T21:39:58
1aYoIZvabbk,success,92.31,83.33,7,6,7,5,5172b2144e00221c,2026-07-27T21:40:46
2L0m28ZLmtE,success,100.00,72.73,13,13,11,11,d6e8a2229bdbbe0a,2026-07-27T20:06:02
2e3vOxsHekE,success,83.33,72.73,6,6,5,6,f82fb8ae4efbbd9d,2026-07-25T10:21:46
6CgqEzyWpeA,success,94.74,74.29,13,12,16,19,c93879d338e56068,2026-07-25T10:23:07
6EUknQqaV1w,success,85.71,83.33,9,9,13,11,6a20b6d048314919,2026-07-25T10:24:00
6YkguepAQuQ,success,100.00,57.14,10,10,4,10,cac8ebdc4608ce39,2026-07-25T10:24:41
BZ32w0SSAoY,success,80.00,40.00,7,7,6,19,b10eca450b6d593a,2026-07-25T10:25:17
Cgv0kfp_6xQ,success,100.00,83.33,11,10,10,14,1ebdf81169256273,2026-07-25T10:25:53
wjtSHyENv0I,success,85.71,54.55,8,8,8,14,e55b79628114331f,2026-07-25T15:57:57
ww5fiygF6eg,success,93.33,35.71,9,10,8,20,f4b0942c9fc8dd75,2026-07-25T10:35:22
